Inspection ID,Violation ID,Property ID,Street Number,Street Name,Street Type,City,Zip Code,Inspection Date,Violation Code,Violation Description,Violation Code Type,Property Location
203144,231066,133388,7601,BARLOWE,RD,CHEVERLY,20785,01/11/2017,1H9,"County Code Section 13-264, Section 13-265 & Section 13-267",Prince George's,"7601 BARLOWE RD
CHEVERLY, MD 20785
(38.917106, -76.875699)"
203145,231067,130648,7521,GREENLEAF,RD,CHEVERLY,20785,01/11/2017,1H3,Section 13-118(a),International Property Maintenance Code,"7521 GREENLEAF RD
CHEVERLY, MD 20785
(38.920153, -76.876355)"
203151,231068,183663,2400,QUEENS CHAPEL,RD,HYATTSVILLE,20782,01/11/2017,1R1G,"Section 303.2, Section 303.4, Section 303.10",International Property Maintenance Code,"2400 QUEENS CHAPEL RD
HYATTSVILLE, MD 20782
(38.947727, -76.972211)"
203151,231069,183663,2400,QUEENS CHAPEL,RD,HYATTSVILLE,20782,01/11/2017,2A3GH,"Section 402.2, Section 402.3, Section 604.3  Secti",International Property Maintenance Code,"2400 QUEENS CHAPEL RD
HYATTSVILLE, MD 20782
(38.947727, -76.972211)"
203152,231070,183663,2400,QUEENS CHAPEL,RD,HYATTSVILLE,20782,01/11/2017,2B1TC,"Section 11-254, IPMC Code Section 703.2",Fire Code,"2400 QUEENS CHAPEL RD
HYATTSVILLE, MD 20782
(38.947727, -76.972211)"
203152,231071,183663,2400,QUEENS CHAPEL,RD,HYATTSVILLE,20782,01/11/2017,2E1LR,"Section 303.5, Section 304.1",International Property Maintenance Code,"2400 QUEENS CHAPEL RD
HYATTSVILLE, MD 20782
(38.947727, -76.972211)"
203153,231072,183663,2400,QUEENS CHAPEL,RD,HYATTSVILLE,20782,01/11/2017,2B2LR,"Section 11-254, International Property Maintenance Code (2000) 303.15, Section 304.6",Fire Code,"2400 QUEENS CHAPEL RD
HYATTSVILLE, MD 20782
(38.947727, -76.972211)"
203154,231073,183663,2400,QUEENS CHAPEL,RD,HYATTSVILLE,20782,01/11/2017,2E2LR,"Section 304.1, Section 304.3",International Property Maintenance Code,"2400 QUEENS CHAPEL RD
HYATTSVILLE, MD 20782
(38.947727, -76.972211)"
203154,231074,183663,2400,QUEENS CHAPEL,RD,HYATTSVILLE,20782,01/11/2017,2P2LR,"Section 504.1, Section 504.3",International Property Maintenance Code,"2400 QUEENS CHAPEL RD
HYATTSVILLE, MD 20782
(38.947727, -76.972211)"
203154,231075,183663,2400,QUEENS CHAPEL,RD,HYATTSVILLE,20782,01/11/2017,2P5LR,"Section 504.1, Section 504.3",International Property Maintenance Code,"2400 QUEENS CHAPEL RD
HYATTSVILLE, MD 20782
(38.947727, -76.972211)"
203154,231076,183663,2400,QUEENS CHAPEL,RD,HYATTSVILLE,20782,01/11/2017,3J8T,"Section 102.8, Section 304.1",International Property Maintenance Code,"2400 QUEENS CHAPEL RD
HYATTSVILLE, MD 20782
(38.947727, -76.972211)"
203155,231077,183663,2400,QUEENS CHAPEL,RD,HYATTSVILLE,20782,01/11/2017,2B1TC,"Section 11-254, IPMC Code Section 703.2",Fire Code,"2400 QUEENS CHAPEL RD
HYATTSVILLE, MD 20782
(38.947727, -76.972211)"
203156,231078,183663,2400,QUEENS CHAPEL,RD,HYATTSVILLE,20782,01/11/2017,2B1TC,"Section 11-254, IPMC Code Section 703.2",Fire Code,"2400 QUEENS CHAPEL RD
HYATTSVILLE, MD 20782
(38.947727, -76.972211)"
203157,231079,8738,5800,ANNAPOLIS,RD,BLADENSBURG,20710,01/11/2017,2B2H,"Section 11-254, International Property Maintenance Code (2000) 303.15, Section 304.6",Fire Code,"5800 ANNAPOLIS RD
BLADENSBURG, MD 20710
(38.939584, -76.916622)"
203157,231080,8738,5800,ANNAPOLIS,RD,BLADENSBURG,20710,01/11/2017,2E1LR,"Section 303.5, Section 304.1",International Property Maintenance Code,"5800 ANNAPOLIS RD
BLADENSBURG, MD 20710
(38.939584, -76.916622)"
203157,231081,8738,5800,ANNAPOLIS,RD,BLADENSBURG,20710,01/11/2017,2G4H,Section 304.4,International Property Maintenance Code,"5800 ANNAPOLIS RD
BLADENSBURG, MD 20710
(38.939584, -76.916622)"
203157,231082,8738,5800,ANNAPOLIS,RD,BLADENSBURG,20710,01/11/2017,2J1G,"Section 701.2, Fire Code Section 11-292",International Property Maintenance Code,"5800 ANNAPOLIS RD
BLADENSBURG, MD 20710
(38.939584, -76.916622)"
203158,231083,8738,5800,ANNAPOLIS,RD,BLADENSBURG,20710,01/11/2017,2B1H,"Section 11-254, IPMC Code Section 703.2",Fire Code,"5800 ANNAPOLIS RD
BLADENSBURG, MD 20710
(38.939584, -76.916622)"
203158,231084,8738,5800,ANNAPOLIS,RD,BLADENSBURG,20710,01/11/2017,2B2B,"Section 11-254, International Property Maintenance Code (2000) 303.15, Section 304.6",Fire Code,"5800 ANNAPOLIS RD
BLADENSBURG, MD 20710
(38.939584, -76.916622)"
