Tract,YEAR STRUCTURE BUILT!!Total housing units,YEAR STRUCTURE BUILT!!Total housing units!!Built 2020 or later,YEAR STRUCTURE BUILT!!Total housing units!!Built 2010 to 2019,YEAR STRUCTURE BUILT!!Total housing units!!Built 2000 to 2009,YEAR STRUCTURE BUILT!!Total housing units!!Built 1990 to 1999,YEAR STRUCTURE BUILT!!Total housing units!!Built 1980 to 1989,YEAR STRUCTURE BUILT!!Total housing units!!Built 1970 to 1979,YEAR STRUCTURE BUILT!!Total housing units!!Built 1960 to 1969,YEAR STRUCTURE BUILT!!Total housing units!!Built 1950 to 1959,YEAR STRUCTURE BUILT!!Total housing units!!Built 1940 to 1949,YEAR STRUCTURE BUILT!!Total housing units!!Built 1939 or earlier,Avg Year Built - number,Avg Year Built,BEDROOMS!!Total housing units,BEDROOMS!!Total housing units!!No bedroom,BEDROOMS!!Total housing units!!1 bedroom,BEDROOMS!!Total housing units!!2 bedrooms,BEDROOMS!!Total housing units!!3 bedrooms,BEDROOMS!!Total housing units!!4 bedrooms,BEDROOMS!!Total housing units!!5 or more bedrooms,Avg Bed,,,,Number,Year Range
Census Tract 8001.02; Prince George's County; Maryland,"1,591",0,105,111,182,142,260,36,101,50,604,7,1960 to 1969,"1,591",54,470,485,475,58,49,2,,,,1,2020+
Census Tract 8001.03; Prince George's County; Maryland,"1,008",0,199,46,32,68,150,219,80,78,136,6,1970 to 1979,"1,008",169,208,335,162,14,120,2,,,,2,2010 to 2019
Census Tract 8001.05; Prince George's County; Maryland,"1,421",0,29,232,63,555,380,36,100,8,18,5,1980 to 1989,"1,421",4,142,433,600,180,62,3,,,,3,2000 to 2009
Census Tract 8001.06; Prince George's County; Maryland,"1,263",0,55,219,121,576,273,5,0,14,0,5,1980 to 1989,"1,263",0,10,193,813,230,17,3,,,,4,1990 to 1999
Census Tract 8001.08; Prince George's County; Maryland,"1,976",0,443,147,64,648,297,121,154,8,94,5,1980 to 1989,"1,976",54,623,681,553,65,0,2,,,,5,1980 to 1989
Census Tract 8001.09; Prince George's County; Maryland,"1,487",0,0,45,142,116,480,241,416,6,41,6,1970 to 1979,"1,487",93,342,243,440,304,65,2,,,,6,1970 to 1979
Census Tract 8002.03; Prince George's County; Maryland,"1,711",0,153,94,98,46,335,669,280,27,9,6,1970 to 1979,"1,711",8,8,48,536,783,328,4,,,,7,1960 to 1969
Census Tract 8002.06; Prince George's County; Maryland,"1,714",0,87,133,109,406,732,175,63,0,9,5,1980 to 1989,"1,714",87,254,320,437,445,171,3,,,,8,1950 to 1959
Census Tract 8002.09; Prince George's County; Maryland,"1,677",0,0,0,160,415,400,448,172,9,73,6,1970 to 1979,"1,677",36,667,643,248,75,8,2,,,,9,1940 to 1949
Census Tract 8002.10; Prince George's County; Maryland,"1,272",0,85,66,56,212,597,164,50,15,27,6,1970 to 1979,"1,272",26,278,553,191,112,112,2,,,,10,1939-
Census Tract 8002.11; Prince George's County; Maryland,"1,403",0,36,66,227,547,151,243,85,0,48,5,1980 to 1989,"1,403",24,582,439,237,107,14,2,,,,,
Census Tract 8002.12; Prince George's County; Maryland,"2,847",0,892,"1,220",54,616,26,19,0,0,20,3,2000 to 2009,"2,847",166,248,964,535,703,231,3,,,,,
Census Tract 8002.13; Prince George's County; Maryland,"1,739",0,21,335,179,897,177,8,21,46,55,5,1980 to 1989,"1,739",0,286,625,396,375,57,3,,,,,
Census Tract 8002.16; Prince George's County; Maryland,"1,557",21,553,339,163,15,53,367,24,0,22,4,1990 to 1999,"1,557",154,110,39,283,559,412,3,,,,,
Census Tract 8002.17; Prince George's County; Maryland,"1,768",0,0,77,524,443,313,185,57,43,126,6,1970 to 1979,"1,768",115,84,537,457,449,126,3,,,,,
Census Tract 8002.18; Prince George's County; Maryland,"2,374",0,24,9,330,337,"1,135",440,30,69,0,6,1970 to 1979,"2,374",58,512,700,712,318,74,2,,,,,
Census Tract 8004.01; Prince George's County; Maryland,866,0,0,31,102,9,24,573,113,0,14,7,1960 to 1969,866,0,0,13,416,390,47,4,,,,,
Census Tract 8004.02; Prince George's County; Maryland,"1,902",0,0,0,0,8,119,"1,651",110,14,0,7,1960 to 1969,"1,902",0,8,74,769,925,126,4,,,,,
Census Tract 8004.03; Prince George's County; Maryland,"1,299",0,13,265,35,0,30,851,98,7,0,6,1970 to 1979,"1,299",0,0,0,489,687,123,4,,,,,
Census Tract 8004.08; Prince George's County; Maryland,"2,270",35,169,670,518,192,175,218,81,14,198,5,1980 to 1989,"2,270",0,16,108,476,931,739,4,,,,,
Census Tract 8004.09; Prince George's County; Maryland,"2,365",0,0,456,724,699,149,194,43,13,87,5,1980 to 1989,"2,365",0,13,28,920,"1,059",345,4,,,,,
Census Tract 8004.10; Prince George's County; Maryland,"1,737",0,13,405,683,194,14,107,79,45,197,5,1980 to 1989,"1,737",0,10,112,519,793,303,4,,,,,
Census Tract 8004.11; Prince George's County; Maryland,"1,572",77,143,90,531,239,125,257,39,44,27,5,1980 to 1989,"1,572",24,112,287,255,492,402,3,,,,,
Census Tract 8004.12; Prince George's County; Maryland,"1,361",0,41,25,212,100,158,587,208,7,23,6,1970 to 1979,"1,361",45,114,104,470,361,267,3,,,,,
Census Tract 8004.13; Prince George's County; Maryland,"1,582",40,131,0,28,630,430,205,104,12,2,5,1980 to 1989,"1,582",0,126,485,635,254,82,3,,,,,
Census Tract 8005.04; Prince George's County; Maryland,"1,721",0,31,8,129,102,116,"1,279",34,12,10,7,1960 to 1969,"1,721",23,26,56,762,685,169,3,,,,,
Census Tract 8005.05; Prince George's County; Maryland,947,0,0,0,0,6,44,811,86,0,0,7,1960 to 1969,947,8,0,20,294,513,112,4,,,,,
Census Tract 8005.07; Prince George's County; Maryland,"1,286",0,51,269,555,265,14,61,11,2,58,4,1990 to 1999,"1,286",0,233,150,192,358,353,3,,,,,
Census Tract 8005.11; Prince George's County; Maryland,"1,995",0,10,0,215,527,683,507,45,8,0,6,1970 to 1979,"1,995",0,10,246,769,894,76,3,,,,,
Census Tract 8005.13; Prince George's County; Maryland,"2,318",0,411,88,352,318,64,"1,045",31,0,9,5,1980 to 1989,"2,318",0,0,7,738,969,604,4,,,,,
Census Tract 8005.14; Prince George's County; Maryland,"2,200",10,638,"1,227",160,67,19,79,0,0,0,3,2000 to 2009,"2,200",0,0,41,471,756,932,4,,,,,
Census Tract 8005.15; Prince George's County; Maryland,"2,027",0,261,0,128,878,552,22,9,8,169,5,1980 to 1989,"2,027",69,262,583,873,151,89,3,,,,,
Census Tract 8005.16; Prince George's County; Maryland,"1,638",0,75,270,202,538,165,371,17,0,0,5,1980 to 1989,"1,638",37,68,479,831,214,9,3,,,,,
Census Tract 8005.17; Prince George's County; Maryland,"1,990",0,47,188,921,635,154,21,15,9,0,4,1990 to 1999,"1,990",0,0,0,558,991,441,4,,,,,
Census Tract 8005.18; Prince George's County; Maryland,"1,232",8,234,395,307,157,45,15,7,44,20,4,1990 to 1999,"1,232",0,7,6,260,482,477,4,,,,,
Census Tract 8005.19; Prince George's County; Maryland,"1,426",47,0,322,526,302,201,0,20,8,0,4,1990 to 1999,"1,426",29,43,150,184,747,273,4,,,,,
Census Tract 8005.20; Prince George's County; Maryland,"1,073",18,12,204,709,51,22,43,6,0,8,4,1990 to 1999,"1,073",18,246,161,625,13,10,2,,,,,
Census Tract 8005.21; Prince George's County; Maryland,"3,275",0,276,"1,613",155,207,857,167,0,0,0,4,1990 to 1999,"3,275",9,104,788,625,"1,181",568,3,,,,,
Census Tract 8005.22; Prince George's County; Maryland,"1,334",0,291,183,694,139,0,27,0,0,0,4,1990 to 1999,"1,334",0,0,64,213,590,467,4,,,,,
Census Tract 8006.05; Prince George's County; Maryland,"1,684",15,3,217,728,262,110,46,75,86,142,5,1980 to 1989,"1,684",9,63,197,541,642,232,3,,,,,
Census Tract 8006.06; Prince George's County; Maryland,"2,412",0,0,363,"1,264",640,38,0,40,67,0,4,1990 to 1999,"2,412",19,174,"1,291",752,162,14,2,,,,,
Census Tract 8006.07; Prince George's County; Maryland,"2,185",0,113,540,661,526,186,80,40,0,39,4,1990 to 1999,"2,185",6,86,25,387,"1,161",520,4,,,,,
Census Tract 8006.08; Prince George's County; Maryland,"2,803",57,"1,573",968,101,77,0,0,0,0,27,3,2000 to 2009,"2,803",0,0,0,"1,180",936,687,4,,,,,
Census Tract 8006.09; Prince George's County; Maryland,"1,488",0,7,9,217,186,739,181,90,12,47,6,1970 to 1979,"1,488",0,0,35,547,746,160,4,,,,,
Census Tract 8007.01; Prince George's County; Maryland,"3,081",0,"1,168",803,318,146,209,360,50,27,0,4,1990 to 1999,"3,081",0,108,188,883,"1,098",804,4,,,,,
Census Tract 8007.04; Prince George's County; Maryland,"2,284",0,90,153,701,362,523,425,30,0,0,5,1980 to 1989,"2,284",33,63,307,"1,109",539,233,3,,,,,
Census Tract 8007.05; Prince George's County; Maryland,"1,645",103,130,437,273,212,392,82,6,0,10,4,1990 to 1999,"1,645",34,50,88,313,782,378,4,,,,,
Census Tract 8007.06; Prince George's County; Maryland,"1,406",0,61,704,192,122,72,219,22,14,0,4,1990 to 1999,"1,406",0,0,14,375,707,310,4,,,,,
Census Tract 8007.07; Prince George's County; Maryland,"1,428",69,141,574,261,191,82,67,21,0,22,4,1990 to 1999,"1,428",9,210,228,381,310,290,3,,,,,
Census Tract 8008; Prince George's County; Maryland,"1,269",106,62,257,201,223,128,122,33,5,132,5,1980 to 1989,"1,269",25,15,80,395,519,235,4,,,,,
Census Tract 8009; Prince George's County; Maryland,715,0,42,117,83,98,75,44,21,32,203,6,1970 to 1979,715,0,29,178,192,217,99,3,,,,,
Census Tract 8010.03; Prince George's County; Maryland,"2,226",135,792,696,52,56,101,140,186,31,37,4,1990 to 1999,"2,226",0,33,115,819,903,356,4,,,,,
Census Tract 8010.04; Prince George's County; Maryland,"1,771",72,269,541,83,254,92,160,174,17,109,5,1980 to 1989,"1,771",34,0,88,387,861,401,4,,,,,
Census Tract 8010.05; Prince George's County; Maryland,"1,362",0,117,220,480,110,354,47,34,0,0,4,1990 to 1999,"1,362",0,0,44,465,524,329,4,,,,,
Census Tract 8010.06; Prince George's County; Maryland,"1,479",0,0,389,297,257,285,233,18,0,0,5,1980 to 1989,"1,479",0,0,21,544,752,162,4,,,,,
Census Tract 8011.05; Prince George's County; Maryland,428,6,112,116,39,16,85,7,16,0,31,4,1990 to 1999,428,0,0,71,316,41,0,3,,,,,
Census Tract 8011.06; Prince George's County; Maryland,615,0,97,105,87,99,57,154,0,16,0,5,1980 to 1989,615,0,0,31,403,181,0,3,,,,,
Census Tract 8012.07; Prince George's County; Maryland,"1,647",0,75,196,563,275,222,62,163,44,47,5,1980 to 1989,"1,647",28,0,127,571,595,326,4,,,,,
Census Tract 8012.08; Prince George's County; Maryland,"1,904",32,302,304,628,0,271,325,42,0,0,4,1990 to 1999,"1,904",0,0,38,741,833,292,4,,,,,
Census Tract 8012.09; Prince George's County; Maryland,"1,609",0,30,113,319,434,411,218,52,19,13,5,1980 to 1989,"1,609",0,0,35,669,657,248,4,,,,,
Census Tract 8012.10; Prince George's County; Maryland,"1,666",0,100,191,429,542,208,162,34,0,0,5,1980 to 1989,"1,666",12,25,33,729,684,183,4,,,,,
Census Tract 8012.11; Prince George's County; Maryland,"1,040",0,0,240,219,84,142,184,139,10,22,5,1980 to 1989,"1,040",0,0,24,436,356,224,4,,,,,
Census Tract 8012.12; Prince George's County; Maryland,"1,189",0,18,6,7,41,52,565,259,232,9,7,1960 to 1969,"1,189",0,20,9,406,564,190,4,,,,,
Census Tract 8012.13; Prince George's County; Maryland,"1,613",0,0,147,127,207,731,287,70,44,0,6,1970 to 1979,"1,613",16,0,35,638,745,179,4,,,,,
Census Tract 8012.14; Prince George's County; Maryland,"1,636",0,0,83,540,395,162,289,91,49,27,5,1980 to 1989,"1,636",0,243,148,419,635,191,3,,,,,
Census Tract 8012.15; Prince George's County; Maryland,"1,027",0,161,357,179,87,63,135,27,14,4,4,1990 to 1999,"1,027",0,0,55,213,587,172,4,,,,,
Census Tract 8012.16; Prince George's County; Maryland,"1,272",0,50,67,62,272,374,247,128,31,41,6,1970 to 1979,"1,272",0,0,86,345,620,221,4,,,,,
Census Tract 8012.17; Prince George's County; Maryland,"1,179",0,95,85,358,79,106,201,191,64,0,5,1980 to 1989,"1,179",0,38,91,385,427,238,4,,,,,
Census Tract 8013.02; Prince George's County; Maryland,"1,032",0,32,57,123,133,61,244,258,109,15,6,1970 to 1979,"1,032",0,19,127,395,331,160,3,,,,,
Census Tract 8013.05; Prince George's County; Maryland,"2,139",0,71,335,427,264,333,539,32,119,19,5,1980 to 1989,"2,139",51,0,59,681,819,529,4,,,,,
Census Tract 8013.07; Prince George's County; Maryland,"1,390",0,81,246,229,392,241,129,72,0,0,5,1980 to 1989,"1,390",0,33,14,173,673,497,4,,,,,
Census Tract 8013.08; Prince George's County; Maryland,"1,313",0,60,21,105,407,622,31,47,0,20,5,1980 to 1989,"1,313",0,0,20,337,576,380,4,,,,,
Census Tract 8013.09; Prince George's County; Maryland,"1,417",0,41,27,215,409,318,266,92,24,25,6,1970 to 1979,"1,417",0,0,0,255,800,362,4,,,,,
Census Tract 8013.10; Prince George's County; Maryland,"2,404",0,427,401,930,153,56,284,59,54,40,4,1990 to 1999,"2,404",0,56,68,278,"1,271",731,4,,,,,
Census Tract 8013.11; Prince George's County; Maryland,"2,499",51,543,490,308,217,632,107,19,120,12,4,1990 to 1999,"2,499",0,41,63,463,"1,276",656,4,,,,,
Census Tract 8013.12; Prince George's County; Maryland,"1,665",0,35,445,322,71,90,409,244,18,31,5,1980 to 1989,"1,665",12,10,17,528,746,352,4,,,,,
Census Tract 8013.13; Prince George's County; Maryland,"1,166",0,8,51,518,210,82,216,61,18,2,5,1980 to 1989,"1,166",7,45,27,299,470,318,4,,,,,
Census Tract 8014.04; Prince George's County; Maryland,"2,969",0,647,731,28,171,304,598,444,9,37,5,1980 to 1989,"2,969",218,768,648,485,478,372,2,,,,,
Census Tract 8014.05; Prince George's County; Maryland,"1,654",0,12,0,301,87,208,270,597,170,9,7,1960 to 1969,"1,654",41,243,296,744,220,110,3,,,,,
Census Tract 8014.06; Prince George's County; Maryland,"1,624",7,25,135,408,272,578,123,69,0,7,5,1980 to 1989,"1,624",0,274,444,589,310,7,3,,,,,
Census Tract 8014.07; Prince George's County; Maryland,"2,572",0,36,68,490,401,489,784,185,43,76,6,1970 to 1979,"2,572",0,150,166,882,848,526,4,,,,,
